Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SonTeamResult,Points_Won,SonTeamScore,OpponentTeamScore,Home_1_Away_0,Day
2013-08-10,Bundesliga,1,Home,W 3–1,Leverkusen,Freiburg,1,,70,1,,0,,,,0,0,,,,,,,0,,,W,3,3,1,1,
2013-08-17,Bundesliga,2,Away,W 1–0,Leverkusen,Stuttgart,1,,71,0,,0,,,,0,0,,,,,,,0,,,W,3,1,0,0,
2013-08-24,Bundesliga,3,Home,W 4–2,Leverkusen,M'Gladbach,1,,88,0,,0,,,,0,0,,,,,,,0,,,W,3,4,2,1,
2013-08-31,Bundesliga,4,Away,L 0–2,Leverkusen,Schalke 04,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0,0,2,0,
2013-09-14,Bundesliga,5,Home,W 3–1,Leverkusen,Wolfsburg,1,,81,0,,0,,,,0,0,,,,,,,0,,,W,3,3,1,1,
2013-09-28,Bundesliga,7,Home,W 2–0,Leverkusen,Hannover 96,1,,83,0,,0,,,,0,0,,,,,,,0,,,W,3,2,0,1,
2013-10-05,Bundesliga,8,Home,D 1–1,Leverkusen,Bayern Munich,0,,22,0,,0,,,,0,0,,,,,,,0,,,D,1,1,1,1,
2013-10-26,Bundesliga,10,Home,W 2–1,Leverkusen,Augsburg,1,,69,0,,0,,,,0,0,,,,,,,0,,,W,3,2,1,1,
2013-11-09,Bundesliga,12,Home,W 5–3,Leverkusen,Hamburger SV,1,,90,3,,0,,,,0,0,,,,,,,0,,,W,3,5,3,1,
2013-11-23,Bundesliga,13,Away,W 1–0,Leverkusen,Hertha BSC,1,,72,0,,0,,,,0,0,,,,,,,0,,,W,3,1,0,0,
2013-11-30,Bundesliga,14,Home,W 3–0,Leverkusen,Nürnberg,1,,78,2,,0,,,,0,0,,,,,,,0,,,W,3,3,0,1,
2013-12-07,Bundesliga,15,Away,W 1–0,Leverkusen,Dortmund,1,,82,1,,0,,,,0,0,,,,,,,0,,,W,3,1,0,0,
2013-12-15,Bundesliga,16,Home,L 0–1,Leverkusen,Eint Frankfurt,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0,0,1,1,
2013-12-21,Bundesliga,17,Away,L 0–1,Leverkusen,Werder Bremen,1,,66,0,,0,,,,0,0,,,,,,,0,,,L,0,0,1,0,
2014-01-25,Bundesliga,18,Away,L 2–3,Leverkusen,Freiburg,1,,83,0,,0,,,,0,0,,,,,,,0,,,L,0,2,3,0,
